"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
0, 1.000000000000000e+00, 8.534226394869631e-03, 1.055351771028276e+00, 4.420060956194107e-01, -4.836915746505108e-02, 2.986175833129412e+00, 1.858423070015346e-06, 1.157002453936802e+00, 1.096319242265054e+00, 3.400818078466385e-01, 3.686542076096611e-01, 5.278367915277395e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.473819599936347e-07
1, 9.090909090909083e-02, 4.030082416441571e-02, 7.015221446150801e-01, 9.060135160879356e-01, 1.258994956968766e-01, 2.136560726093443e+00, 1.105599071412639e-06, 6.160826618449260e-01, 8.782084308727930e-01, 1.175935715414085e+00, -9.014683435593924e-01, 4.496821205500710e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.128846894420192e-08
2, 1.010101010101009e-01, -9.707289447602694e-03, 9.877122141517245e-01, 6.312882434146933e-01, -5.144017876905112e-02, 2.826677035263792e+00, 8.708571928870527e-07, 1.049438460689712e+00, 1.062494161410163e+00, 5.257835735615314e-01, 1.160854247433821e-01, 5.162836679421594e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.052417350717472e-08
10, 9.958376592978976e-01, 9.461487257408805e-03, 1.107998306592655e+00, 7.673186313762561e-01, -1.657527358840994e-01, 3.185474814928526e+00, 2.268174927158351e-06, 1.162952959661361e+00, 1.049598138139492e+00, 5.844730332774023e-01, 3.826264667543923e-01, 5.118282200863255e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 6.322592455565000e-07
11, 9.916737489045475e-01, 1.038166886825548e-02, 1.080068609552572e+00, 8.066262023146958e-01, -1.765212106372642e-01, 3.117962623563696e+00, 2.170825590843948e-06, 1.120932779516825e+00, 1.037834790866834e+00, 6.342358651862415e-01, 2.839597527867595e-01, 5.077390502128229e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.123523403401698e-07
12, 9.874968201232462e-01, 1.129414988138832e-02, 1.060633059630935e+00, 8.196233701030911e-01, -1.775620540904064e-01, 3.067987683597077e+00, 2.124679274685076e-06, 1.094574136256902e+00, 1.032000771914254e+00, 6.578160106888750e-01, 2.220675689323334e-01, 5.057020475012996e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.523646133097229e-07
13, 9.833082081898415e-01, 1.219435640684177e-02, 1.047058781331611e+00, 8.326874118541286e-01, -1.773205060854154e-01, 3.034060848043993e+00, 2.080798348271384e-06, 1.075177310137353e+00, 1.026854775784394e+00, 6.781453049438064e-01, 1.765222835947984e-01, 5.039002810128813e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.064225745056529e-07
14, 9.790982165522996e-01, 1.308263907450850e-02, 1.036012539647784e+00, 8.441125595220353e-01, -1.766561744889951e-01, 3.006800617589096e+00, 2.043708618056103e-06, 1.059144105113500e+00, 1.022327495643614e+00, 6.958002767929985e-01, 1.388750472280919e-01, 5.023112488441905e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.709558977422381e-07
15, 9.748702965378968e-01, 1.396016940401248e-02, 1.026043740306338e+00, 8.527146163602809e-01, -1.752565891431695e-01, 2.981801461109562e+00, 2.009699314328640e-06, 1.045000353965873e+00, 1.018475443994108e+00, 7.105305471117701e-01, 1.056643983419573e-01, 5.009563264206095e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.404580472879648e-07
16, 9.706207114261344e-01, 1.482503975084644e-02, 1.017364567013305e+00, 8.603587277345489e-01, -1.733971267992766e-01, 2.960157470291385e+00, 1.980268429336968e-06, 1.032635716330867e+00, 1.015010498510277e+00, 7.236848187114497e-01, 7.663124901584206e-02, 4.997352838154363e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.155826098444067e-07
17, 9.663480339997060e-01, 1.567770276699054e-02, 1.009459147490735e+00, 8.669233165041954e-01, -1.713909587900954e-01, 2.940407117311461e+00, 1.952740063514551e-06, 1.021440211660974e+00, 1.011868795483225e+00, 7.355148333912900e-01, 5.034331657033381e-02, 4.986262753385393e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.937436509017453e-07
18, 9.620522184929611e-01, 1.651904051854436e-02, 1.001888553177510e+00, 8.727453173328406e-01, -1.693366145381139e-01, 2.921433181030514e+00, 1.926919446080999e-06, 1.010799381205845e+00, 1.008894031177494e+00, 7.466310880414736e-01, 2.535780315075870e-02, 4.975745439455819e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.740713111503335e-07
19, 9.577332024389876e-01, 1.734901823919854e-02, 9.948796647287964e-01, 8.779352354594543e-01, -1.671006141169428e-01, 2.903786521623861e+00, 1.901853669643596e-06, 1.000953905437818e+00, 1.006105502931028e+00, 7.568914090930856e-01, 2.239845585184749e-03, 4.965871919489155e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.563564331209084e-07
20, 9.533909213226549e-01, 1.816759651375743e-02, 9.883466711812603e-01, 8.826368475260182e-01, -1.647859345240596e-01, 2.887323969074782e+00, 1.878939990287853e-06, 9.917880033386292e-01, 1.003481907975929e+00, 7.664677686174705e-01, -1.928241913536876e-02, 4.956569401178772e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.407617934209765e-07
21, 9.490253108140767e-01, 1.897473882851933e-02, 9.823288294012478e-01, 8.869662114530715e-01, -1.623804747855280e-01, 2.872209163852819e+00, 1.857323581813230e-06, 9.833430737320530e-01, 1.001032489631220e+00, 7.753909083599854e-01, -3.911178329094350e-02, 4.947873057451335e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.268652357115385e-07
22, 9.446363067356024e-01, 1.977041232203067e-02, 9.764632111203398e-01, 8.908968872887701e-01, -1.599218811191751e-01, 2.857432829740922e+00, 1.836484474880667e-06, 9.751691096840974e-01, 9.986747053841817e-01, 7.839388720647809e-01, -5.830489883512392e-02, 4.939491610332176e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.139256920827340e-07
23, 9.402238445468564e-01, 2.055458685617306e-02, 9.708467646048031e-01, 8.947043293072727e-01, -1.574166921529829e-01, 2.843332736815691e+00, 1.816569308515163e-06, 9.673215374058984e-01, 9.963689149231088e-01, 7.922728587958147e-01, -7.673162063046296e-02, 4.931285055914728e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.022276753574250e-07
24, 9.357878600583982e-01, 2.132723615984918e-02, 9.654090899557798e-01, 8.980212597256213e-01, -1.548371388479542e-01, 2.829513008496473e+00, 1.796681853808508e-06, 9.597710406533742e-01, 9.941599376253398e-01, 8.001004460841645e-01, -9.446078554199740e-02, 4.923413827655437e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.910376888462966e-07
25, 9.313282888249880e-01, 2.208833678914594e-02, 9.602849763527970e-01, 9.011328298952448e-01, -1.522292882260148e-01, 2.816508540373515e+00, 1.778018262542526e-06, 9.526521092194586e-01, 9.920514562642349e-01, 8.075467351864748e-01, -1.111766008747566e-01, 4.915892234378434e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.809781659089558e-07
26, 9.268450662260708e-01, 2.283786910979114e-02, 9.555536681835488e-01, 9.039869353684538e-01, -1.495766187716980e-01, 2.804507324405141e+00, 1.760068745892380e-06, 9.460795618017850e-01, 9.900852179242077e-01, 8.144640383168064e-01, -1.266094632248873e-01, 4.908870597340294e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.718163400571772e-07
27, 9.223381273686708e-01, 2.357581674710185e-02, 9.509280280761506e-01, 9.067779837415485e-01, -1.469356831007583e-01, 2.792846111308299e+00, 1.743407330572587e-06, 9.396620463412478e-01, 9.881526452031335e-01, 8.213068492272569e-01, -1.416782982500990e-01, 4.901962141620273e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.635072185572088e-07
28, 9.178074074287982e-01, 2.430216673846467e-02, 9.463822702950374e-01, 9.092284222007199e-01, -1.442291359123548e-01, 2.781246999744933e+00, 1.726187386001254e-06, 9.333960432245146e-01, 9.862780321671978e-01, 8.278261512361220e-01, -1.563913702815004e-01, 4.895254189401486e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.553491902621788e-07
29, 9.132528409034609e-01, 2.501690994880039e-02, 9.417526197594162e-01, 9.115876146462296e-01, -1.415583759566452e-01, 2.769441671030697e+00, 1.709917881378576e-06, 9.270432708885651e-01, 9.843808782028037e-01, 8.344305342074213e-01, -1.713081833179180e-01, 4.888458856384505e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.477221885450538e-07
30, 9.086743625808302e-01, 2.572004028402320e-02, 9.372967642005028e-01, 9.137111859796198e-01, -1.388222190252647e-01, 2.757962123685386e+00, 1.693480460810412e-06, 9.209288612956505e-01, 9.825371178798278e-01, 8.407150958453697e-01, -1.856653017383992e-01, 4.881848275647327e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.404994951881852e-07
31, 9.040719071505763e-01, 2.641155578067035e-02, 9.329998268542165e-01, 9.157009651225220e-01, -1.361035644935626e-01, 2.746914214770433e+00, 1.677898186536257e-06, 9.150502310653106e-01, 9.807614157342062e-01, 8.467815034273711e-01, -1.994687915250526e-01, 4.875475641066736e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.338426159001989e-07
32, 8.994454068864999e-01, 2.709145774665371e-02, 9.284807238588199e-01, 9.175533143295475e-01, -1.333925013096411e-01, 2.735289847509129e+00, 1.662713407627871e-06, 9.089322034771181e-01, 9.789456906542368e-01, 8.530149823327184e-01, -2.138344052852491e-01, 4.868953200213736e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.274937302156195e-07
