"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
0, 1.000000000000000e+00, 4.535182848276872e-03, 9.011325847996436e-01, 4.755584341770162e-01, -1.059375040350708e-02, 2.531909408185373e+00, 9.650628819493634e-07, 9.625451704319393e-01, 1.068150443861654e+00, 4.316608825738796e-01, -8.794690891345136e-02, 5.182289127356100e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.125700492560596e-08
1, 9.090909090909083e-02, 1.445500715944838e-02, 1.121070730335676e+00, 2.621004432390791e-01, 2.473829422165616e-02, 3.075362197395405e+00, 1.934050723715692e-06, 1.217780159467828e+00, 1.086265234222283e+00, 1.904270639577322e-01, 5.113650781154980e-01, 5.244226128146188e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.641631521134069e-07
2, 1.010101010101009e-01, -5.976937065058242e-02, 1.110663349770885e+00, 8.100037440810937e-01, -1.262600600445788e-01, 3.199191373360270e+00, 1.585988227534777e-06, 1.158659200869165e+00, 1.043213680462384e+00, 6.107548769770151e-01, 3.725443807390940e-01, 5.096118479622799e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.823549015402527e-07
10, 9.959035637239483e-01, 5.827171305718869e-03, 9.028962244813976e-01, 4.859417697738295e-01, -1.541973914398263e-01, 2.478606919793448e+00, 7.625107210494427e-07, 9.338688780083680e-01, 1.034303669333384e+00, 4.692354550664515e-01, -1.552811167268525e-01, 5.065068421524728e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.491768633004667e-09
11, 9.918054939350789e-01, 7.113962150832430e-03, 9.203427362185194e-01, 6.055351440371617e-01, -1.889201218915646e-01, 2.536935787359206e+00, 7.504557810917955e-07, 9.273365361064523e-01, 1.007599125426544e+00, 5.802990469274104e-01, -1.706195733388459e-01, 4.971162249912655e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.880987746903192e-09
12, 9.876952286983591e-01, 8.396463383421275e-03, 9.090194470022177e-01, 7.111675544349449e-01, -2.215189342553912e-01, 2.547780812404775e+00, 7.530528114007454e-07, 8.970401447584272e-01, 9.868217316105875e-01, 6.971454468459275e-01, -2.417579018539795e-01, 4.897200395244740e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.087429217792814e-09
13, 9.835724917284648e-01, 9.671412308596024e-03, 8.950229675253022e-01, 7.264191547877321e-01, -2.234055381081588e-01, 2.514965678128132e+00, 7.336222600798664e-07, 8.769181145989284e-01, 9.797716331498924e-01, 7.250217202130227e-01, -2.890060237650782e-01, 4.871920922486460e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.428135244718289e-09
14, 9.794295627329569e-01, 1.093938127351943e-02, 8.819674664914354e-01, 7.517716753303989e-01, -2.299226228821537e-01, 2.495324914875125e+00, 7.497340041559759e-07, 8.579830585361844e-01, 9.728057906141779e-01, 7.637889789442459e-01, -3.334670364041880e-01, 4.846851037352099e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.547818290706144e-09
15, 9.752689377819345e-01, 1.220092910677906e-02, 8.742897678346534e-01, 7.540874624950773e-01, -2.278370637272993e-01, 2.474748915962311e+00, 7.449212934235513e-07, 8.479425970755220e-01, 9.698644868915882e-01, 7.732432139565125e-01, -3.570428358328119e-01, 4.836237533095907e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.272846257231051e-09
16, 9.710867220968555e-01, 1.345481418701310e-02, 8.688473312810723e-01, 7.578748258995811e-01, -2.261022065075622e-01, 2.459546560110984e+00, 7.535501220618722e-07, 8.398355704053507e-01, 9.666089083418773e-01, 7.824913437897816e-01, -3.760787771077515e-01, 4.824470606058023e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.414817187894154e-09
