"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 1.000000000000000e+00, 5.054249112489913e-04, 1.007730915752240e+00, 4.426763405924126e-01, -5.235159855459206e-02, 2.840672208372734e+00, 1.096833151193712e+00, 1.088418678090232e+00, 3.583403011264628e-01, 2.273719150786896e-01
1, 9.090909090909083e-02, 7.529965731069189e-02, 8.483866792177883e-01, 9.061672251884826e-01, 3.226850845917911e-01, 2.522339228216803e+00, 7.908123457676947e-01, 9.321366838253790e-01, 9.925110235850578e-01, -4.911891946846653e-01
2, 1.010101010101009e-01, -3.862326976429908e-02, 9.244921970339817e-01, 9.168904229248864e-01, -1.197979529259584e-01, 2.716096812288913e+00, 9.014637516448715e-01, 9.750907087555832e-01, 8.560582891231128e-01, -2.313709222201759e-01
10, 9.957927378485937e-01, 1.574349854757920e-03, 9.954652123245392e-01, 4.124224170552842e-01, -1.058074944057258e-01, 2.797018161621140e+00, 1.082384600407119e+00, 1.087315344631292e+00, 3.466698217336093e-01, 1.934455724784420e-01
11, 9.915866781748165e-01, 2.647991998473281e-03, 9.986025650122502e-01, 4.478223546103063e-01, -1.153484752434400e-01, 2.806132014777715e+00, 1.079622927534580e+00, 1.081133741651601e+00, 3.764075755619813e-01, 1.869609456527198e-01
12, 9.873709325352191e-01, 3.731232729750693e-03, 9.965490097709749e-01, 4.591436943693863e-01, -1.186189619381153e-01, 2.802829527777608e+00, 1.075999381495338e+00, 1.079725503658493e+00, 3.870431006816864e-01, 1.784525723098956e-01
13, 9.831493680254021e-01, 4.825842840966211e-03, 9.924841265141165e-01, 4.637780504594260e-01, -1.208062213743258e-01, 2.795219988178105e+00, 1.071803280569072e+00, 1.079919821321019e+00, 3.927192944754521e-01, 1.685997947052514e-01
14, 9.789114797736396e-01, 5.935274737999399e-03, 9.867296149859734e-01, 4.629365162415642e-01, -1.217184298620736e-01, 2.780034530719260e+00, 1.065572397991809e+00, 1.079903128281962e+00, 3.945319887706359e-01, 1.539691884845698e-01
15, 9.746605288384983e-01, 7.057090946531150e-03, 9.853692360741795e-01, 4.689884083511969e-01, -1.248053991474348e-01, 2.777607179256617e+00, 1.063238149127279e+00, 1.079025110793329e+00, 4.007200843048213e-01, 1.484881871120482e-01
16, 9.703936277979847e-01, 8.193346922317744e-03, 9.826026466513319e-01, 4.740826557067277e-01, -1.267303703033609e-01, 2.770991616594506e+00, 1.059380912348900e+00, 1.078137654075352e+00, 4.065019834754863e-01, 1.394310893887938e-01
17, 9.661091508539392e-01, 9.343855745183037e-03, 9.782431081241645e-01, 4.748891660046186e-01, -1.277083799081220e-01, 2.758891425879315e+00, 1.054115046403545e+00, 1.077559389531370e+00, 4.092822425607496e-01, 1.270664187178188e-01
18, 9.618066476328239e-01, 1.050786264139267e-02, 9.786640275529173e-01, 4.793284493469795e-01, -1.300044390273075e-01, 2.762981103253543e+00, 1.054785578562846e+00, 1.077781086120295e+00, 4.131271403309071e-01, 1.286408813817177e-01
19, 9.574859552953734e-01, 1.168504584975918e-02, 9.765688455285635e-01, 4.822163044072039e-01, -1.319257866455242e-01, 2.757811997959303e+00, 1.051938038810897e+00, 1.077177552435169e+00, 4.168739201869663e-01, 1.219546323163720e-01
20, 9.531469071600829e-01, 1.287508284300379e-02, 9.735639598532464e-01, 4.846008650459679e-01, -1.332083791763271e-01, 2.749601061237742e+00, 1.047952211475346e+00, 1.076408181372401e+00, 4.205180116159191e-01, 1.125955937713584e-01
21, 9.487893331282200e-01, 1.407764823358843e-02, 9.720714631133768e-01, 4.870745831282455e-01, -1.345974610996938e-01, 2.746037203972120e+00, 1.045875920050739e+00, 1.075924929120930e+00, 4.235665392317907e-01, 1.077202969163581e-01
22, 9.444130589784421e-01, 1.529241111564703e-02, 9.705894544395612e-01, 4.885447582029980e-01, -1.358606354002679e-01, 2.742630045463785e+00, 1.044066877693242e+00, 1.075703916746250e+00, 4.257296231089186e-01, 1.034725220560763e-01
