"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 1.000000000000000e+00, 1.853558478124889e-20, 1.051147402259554e+00, 5.008899276708741e-01, -4.799662614317856e-02, 2.982046931792697e+00, 1.144643912517835e+00, 1.088947097293205e+00, 3.877001904767052e-01, 3.396353726820578e-01
1, 9.202999075687751e-02, 3.684834290910530e-02, 7.237418024581749e-01, 8.845992496128090e-01, 1.627723852414518e-01, 2.189285717746453e+00, 6.521509447394835e-01, 9.010823231772237e-01, 1.106489297003979e+00, -8.167771561484847e-01
2, 1.018491635200274e-01, -3.902484235526241e-02, 1.018293487897769e+00, 8.882155004384973e-01, -1.488704589590913e-01, 2.969378773036119e+00, 1.028447890285417e+00, 1.009971980090544e+00, 7.437768544499725e-01, 6.679790148731245e-02
10, 9.958205743875335e-01, 8.676740041808182e-04, 1.056198798152514e+00, 5.644259762962900e-01, -1.163892566072642e-01, 3.005507223194502e+00, 1.139312618553661e+00, 1.078691455194352e+00, 4.440084780019290e-01, 3.271170718363421e-01
11, 9.916401082596908e-01, 1.730314307381633e-03, 1.051052746001126e+00, 6.120306602403246e-01, -1.256888504096673e-01, 2.999210166455813e+00, 1.125400598378324e+00, 1.070736556904555e+00, 4.855271270896787e-01, 2.944505456427262e-01
12, 9.874465079135902e-01, 2.588321541739468e-03, 1.039328607687954e+00, 6.256319228684407e-01, -1.271927387254203e-01, 2.969401998637599e+00, 1.109326838784362e+00, 1.067349470204734e+00, 5.025083668203955e-01, 2.567080839305956e-01
13, 9.832431590518058e-01, 3.438384666795526e-03, 1.033021662352130e+00, 6.375191183436580e-01, -1.281807046606089e-01, 2.954184368629288e+00, 1.099805005543993e+00, 1.064648540902618e+00, 5.156110268892893e-01, 2.343500646754780e-01
14, 9.790185299143999e-01, 4.282669845037070e-03, 1.027069569527733e+00, 6.461273719830822e-01, -1.285368211333603e-01, 2.939392352707734e+00, 1.091244205414682e+00, 1.062483241438511e+00, 5.259216981524391e-01, 2.142486273473323e-01
15, 9.747770619634212e-01, 5.122653354158300e-03, 1.022401521863028e+00, 6.539186777229253e-01, -1.288382985514200e-01, 2.928014737558850e+00, 1.084310690986855e+00, 1.060552696567798e+00, 5.349855083964594e-01, 1.979681858430901e-01
16, 9.705153474562592e-01, 5.958017769194982e-03, 1.018097706675690e+00, 6.603343129393920e-01, -1.288101866606167e-01, 2.917402222039690e+00, 1.078043397682215e+00, 1.058880096294746e+00, 5.427457887752313e-01, 1.832520843482075e-01
17, 9.662319541040187e-01, 6.789558587910336e-03, 1.014338525883445e+00, 6.660079830983873e-01, -1.287204266550243e-01, 2.908165339766843e+00, 1.072539900030351e+00, 1.057378648904434e+00, 5.496430008078809e-01, 1.703294355930110e-01
18, 9.619267274601186e-01, 7.617950366109823e-03, 1.010848420739760e+00, 6.709939413170989e-01, -1.285516976472192e-01, 2.899547346029332e+00, 1.067469106592111e+00, 1.056013032904493e+00, 5.558548268051948e-01, 1.584228106323629e-01
19, 9.575996134199696e-01, 8.443376435833554e-03, 1.007665742399030e+00, 6.755085836217737e-01, -1.283208776724151e-01, 2.891693066052041e+00, 1.062840932439494e+00, 1.054755448874449e+00, 5.615291058581995e-01, 1.475554908413030e-01
20, 9.532505679213199e-01, 9.266081774198395e-03, 1.004686624250153e+00, 6.796045844752110e-01, -1.280495227909561e-01, 2.884326912373175e+00, 1.058525143617610e+00, 1.053587375474059e+00, 5.667632616394269e-01, 1.374216765699503e-01
21, 9.488795577760850e-01, 1.008637827050671e-02, 1.001898205589537e+00, 6.833607813546887e-01, -1.277521938079215e-01, 2.877426180270433e+00, 1.054493089911038e+00, 1.052495237568125e+00, 5.716258638326014e-01, 1.279540948413593e-01
22, 9.444865325929510e-01, 1.090449549872732e-02, 9.992672051827847e-01, 6.868544402172050e-01, -1.274222182223446e-01, 2.870910789614948e+00, 1.050691653076359e+00, 1.051462159097043e+00, 5.761954932630327e-01, 1.190280198092398e-01
23, 9.400713989964585e-01, 1.172043921598856e-02, 9.967569210343608e-01, 6.901011613670573e-01, -1.270443811386979e-01, 2.864686606398200e+00, 1.047078260551092e+00, 1.050485066574218e+00, 5.804996112784409e-01, 1.105434877221106e-01
24, 9.356340576083134e-01, 1.253418531262909e-02, 9.943621535947302e-01, 6.931432475341465e-01, -1.266233905972498e-01, 2.858737444814724e+00, 1.043635778165783e+00, 1.049552996755682e+00, 5.845754133404262e-01, 1.024602661918457e-01
25, 9.311744120804579e-01, 1.334572917706648e-02, 9.920714844516242e-01, 6.959753616068570e-01, -1.261641558020400e-01, 2.853033633479821e+00, 1.040353967757265e+00, 1.048668351083924e+00, 5.884218551476145e-01, 9.475431519973959e-02
26, 9.266923675576162e-01, 1.415507705045005e-02, 9.898862461351133e-01, 6.986429397762858e-01, -1.256781271312076e-01, 2.847594485532132e+00, 1.037228732635149e+00, 1.047826188801873e+00, 5.920752841874017e-01, 8.741601539200909e-02
27, 9.221878366321385e-01, 1.496227972156751e-02, 9.878209106210748e-01, 7.010897167900066e-01, -1.251590388715251e-01, 2.842438836271579e+00, 1.034286561123557e+00, 1.047038537049462e+00, 5.954735142475195e-01, 8.050756345345510e-02
28, 9.176604647299414e-01, 1.576747041184761e-02, 9.858540864843625e-01, 7.034125591142127e-01, -1.246333523152820e-01, 2.837533100811906e+00, 1.031484187126067e+00, 1.046284842013919e+00, 5.987159364232484e-01, 7.392736715992156e-02
29, 9.131101915419436e-01, 1.657068842233652e-02, 9.839452624114052e-01, 7.056001173843569e-01, -1.240872541273190e-01, 2.832768096375461e+00, 1.028778432487989e+00, 1.045564699368244e+00, 6.018138489112191e-01, 6.757404078141487e-02
30, 9.085371535956777e-01, 1.737187717646474e-02, 9.820838762847581e-01, 7.076536925047293e-01, -1.235142986863475e-01, 2.828099371717666e+00, 1.026151060652047e+00, 1.044871100556091e+00, 6.047742899374916e-01, 6.140476343581993e-02
31, 9.039412472377252e-01, 1.817101122794337e-02, 9.803090359041458e-01, 7.095580628129209e-01, -1.229103087775315e-01, 2.823637038549615e+00, 1.023655609350441e+00, 1.044217253803354e+00, 6.075545160441519e-01, 5.554524596233809e-02
32, 8.993223651057086e-01, 1.896804666190027e-02, 9.786454242556409e-01, 7.113757968823295e-01, -1.222871806145912e-01, 2.819475769334520e+00, 1.021314629000846e+00, 1.043600270013687e+00, 6.101918695033384e-01, 5.004843852927045e-02
33, 8.946804018463703e-01, 1.976295304539534e-02, 9.770267811330271e-01, 7.130292177432870e-01, -1.216407649283889e-01, 2.815400545428858e+00, 1.019058314487548e+00, 1.043019837496960e+00, 6.126607540478433e-01, 4.475043319138628e-02
34, 8.900152648453233e-01, 2.055577767063302e-02, 9.754611380402655e-01, 7.146000282851680e-01, -1.209906392644816e-01, 2.811444995732830e+00, 1.016876745064301e+00, 1.042457464894235e+00, 6.150312810717540e-01, 3.962793525007290e-02
35, 8.853268631317629e-01, 2.134658214392930e-02, 9.739603476580507e-01, 7.160626462517715e-01, -1.203271237105605e-01, 2.807650946294323e+00, 1.014796354971947e+00, 1.041927792452833e+00, 6.172677917887381e-01, 3.474301439829761e-02
36, 8.806150912761561e-01, 2.213534620061999e-02, 9.725383317698532e-01, 7.174553803715861e-01, -1.196480763012478e-01, 2.804067397249802e+00, 1.012827569157836e+00, 1.041426888865823e+00, 6.193932338243916e-01, 3.012014923883700e-02
37, 8.758798364119579e-01, 2.292200792857236e-02, 9.711710119001400e-01, 7.187491190705159e-01, -1.189443814136968e-01, 2.800611211186090e+00, 1.010943845239725e+00, 1.040953480748738e+00, 6.213965232044913e-01, 2.569701615413974e-02
38, 8.711209816155183e-01, 2.370648279907297e-02, 9.698836736909231e-01, 7.200296087416507e-01, -1.182271665376414e-01, 2.797363734816181e+00, 1.009154945881461e+00, 1.040490703427443e+00, 6.233393363852182e-01, 2.149653865281650e-02
